scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
AbsCon,PAGED,Qwen,Model-Internal vs No Refinement,Recall,2000,0.5950,0.0039,0.3558,0.0000,0.2392,3.19216e-126,1.14924e-125,True,0.6576,medium
AbsCon,PAGED,Qwen,Model-Internal vs No Refinement,F1,2000,0.5934,0.0041,0.3498,0.0000,0.2437,3.19228e-126,1.14924e-125,True,0.6617,medium
AbsCon,PAGED,Qwen,Element Alignment vs No Refinement,Precision,2000,0.5998,0.0047,0.3534,0.0000,0.2464,1.37213e-138,1.23492e-137,True,0.6690,medium
AbsCon,PAGED,Qwen,Element Alignment vs No Refinement,Recall,2000,0.5697,0.0067,0.3558,0.0000,0.2139,2.19298e-107,5.63909e-107,True,0.6389,small
AbsCon,PAGED,Qwen,Element Alignment vs No Refinement,F1,2000,0.5760,0.0056,0.3498,0.0000,0.2263,2.44867e-118,7.34601e-118,True,0.6505,medium
AbsCon,PAGED,Qwen,Direct LLM vs No Refinement,Precision,2000,0.6103,0.0090,0.3534,0.0000,0.2569,1.3322e-169,2.39797e-168,True,0.6871,medium
AbsCon,PAGED,Qwen,Direct LLM vs No Refinement,Recall,2000,0.4876,0.0112,0.3558,0.0000,0.1318,1.68322e-27,3.0298e-27,True,0.5763,small
AbsCon,PAGED,Qwen,Direct LLM vs No Refinement,F1,2000,0.5321,0.0099,0.3498,0.0000,0.1824,5.61972e-56,1.12394e-55,True,0.6185,small
AbsCon,PAGED,Qwen,IntentTrace vs Model-Internal,Precision,2000,0.6263,0.0072,0.6092,0.0041,0.0170,6.53529e-16,9.04886e-16,True,0.5295,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Model-Internal,Recall,2000,0.5801,0.0069,0.5950,0.0039,-0.0149,4.59447e-12,5.90718e-12,True,0.4759,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Model-Internal,F1,2000,0.5932,0.0067,0.5934,0.0041,-0.0002,0.472385,0.472385,False,0.5010,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Element Alignment,Precision,2000,0.6263,0.0072,0.5998,0.0047,0.0264,9.74615e-10,1.16954e-09,True,0.5238,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Element Alignment,Recall,2000,0.5801,0.0069,0.5697,0.0067,0.0104,0.0565105,0.0635743,False,0.5024,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Element Alignment,F1,2000,0.5932,0.0067,0.5760,0.0056,0.0171,0.11205,0.118641,False,0.5109,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Direct LLM,Precision,2000,0.6263,0.0072,0.6103,0.0090,0.0159,7.82403e-17,1.2803e-16,True,0.4706,negligible
AbsCon,PAGED,Qwen,IntentTrace vs Direct LLM,Recall,2000,0.5801,0.0069,0.4876,0.0112,0.0925,3.79757e-77,8.54454e-77,True,0.6012,small
AbsCon,PAGED,Qwen,IntentTrace vs Direct LLM,F1,2000,0.5932,0.0067,0.5321,0.0099,0.0610,1.05159e-16,1.57738e-16,True,0.5483,negligible
